,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.2842619561605853,0.08507242470253071,0.06411957485620337,0.17292587652139596,0.07606996387119233,0.173265003860131,0.11645566819372664,-0.32092326989504055,-0.0053253495490322034,-0.015183414499589988
NO3-N(㎎/L),-0.2842619561605853,1.0,0.2693154239905565,0.8233390504404491,0.16018139466350767,0.8435661664918167,0.25008442737608855,0.18073632205552254,0.2551546704630035,-0.3088621588882059,0.11402880559144887
PO4-P(㎎/L),0.08507242470253071,0.2693154239905565,1.0,0.26991141417200337,0.4772956046296302,0.26448284446898146,0.6490107921372583,0.09572181041359751,-0.29318035003764703,-0.06315156738567379,-0.15182551807574574
T-N(㎎/L),0.06411957485620337,0.8233390504404491,0.26991141417200337,1.0,0.1726827347130864,0.9842850355900143,0.23859873718085153,0.16813068853595312,0.12106458283642568,-0.3067015012628811,0.1441937227381171
T-P(㎎/L),0.17292587652139596,0.16018139466350767,0.4772956046296302,0.1726827347130864,1.0,0.1557231216143091,0.8999955725527138,0.35937673425726224,-0.317013412385585,0.12567226854146943,-0.03814184698813906
Dissolved Total N(㎎/L),0.07606996387119233,0.8435661664918167,0.26448284446898146,0.9842850355900143,0.1557231216143091,1.0,0.2290475427039262,0.16213403780044802,0.1355218271393374,-0.34304459252612046,0.1308360306598408
Dissolved Total P(㎎/L),0.173265003860131,0.25008442737608855,0.6490107921372583,0.23859873718085153,0.8999955725527138,0.2290475427039262,1.0,0.32436799586223314,-0.2920896521912131,0.045875602099349225,-0.08100934751288418
Hydrogen ion conc.,0.11645566819372664,0.18073632205552254,0.09572181041359751,0.16813068853595312,0.35937673425726224,0.16213403780044802,0.32436799586223314,1.0,0.13642838506621108,0.233075276993495,-0.09476829250560169
DO (㎎/L),-0.32092326989504055,0.2551546704630035,-0.29318035003764703,0.12106458283642568,-0.317013412385585,0.1355218271393374,-0.2920896521912131,0.13642838506621108,1.0,0.03729199069668593,0.11855702442027391
TSI(Chl-a),-0.0053253495490322034,-0.3088621588882059,-0.06315156738567379,-0.3067015012628811,0.12567226854146943,-0.34304459252612046,0.045875602099349225,0.233075276993495,0.03729199069668593,1.0,-0.25305050010768854
Predict,-0.015183414499589988,0.11402880559144887,-0.15182551807574574,0.1441937227381171,-0.03814184698813906,0.1308360306598408,-0.08100934751288418,-0.09476829250560169,0.11855702442027391,-0.25305050010768854,1.0
