,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a)
NH3-N(㎎/L),1.0,0.15067308748074904,0.2849487272678966,0.7729932340263772,0.3534509527623999,0.7691392532457686,0.11293409889444511,-0.20159599484928203,-0.10862572902188987,0.012975798827605406
NO3-N(㎎/L),0.15067308748074904,1.0,0.24907053264425535,0.6841752974257805,0.2755859718695408,0.6936147253759611,0.15078514340298443,-0.1306901508160182,0.08123245400755401,-0.18972724292022755
PO4-P(㎎/L),0.2849487272678966,0.24907053264425535,1.0,0.38815836874363674,0.9053590790465212,0.38556805796425764,0.38915064323859694,-0.14488663419784983,-0.23956476606924026,-0.025384377571747777
T-N(㎎/L),0.7729932340263772,0.6841752974257805,0.38815836874363674,1.0,0.4773010661852729,0.9972000976913815,0.19092702639889225,-0.22721792197747084,-0.04921568384074552,-0.09972950677693816
T-P(㎎/L),0.3534509527623999,0.2755859718695408,0.9053590790465212,0.4773010661852729,1.0,0.4805244143708741,0.42653671216289024,-0.11717774964306998,-0.253756378123611,-0.01483608027899269
Dissolved Total N(㎎/L),0.7691392532457686,0.6936147253759611,0.38556805796425764,0.9972000976913815,0.4805244143708741,1.0,0.19331258379695151,-0.22243260305658794,-0.04575080845448764,-0.1065562866242677
Dissolved Total P(㎎/L),0.11293409889444511,0.15078514340298443,0.38915064323859694,0.19092702639889225,0.42653671216289024,0.19331258379695151,1.0,-0.006374665827838183,-0.09263839088076979,-0.06937105594142122
Hydrogen ion conc.,-0.20159599484928203,-0.1306901508160182,-0.14488663419784983,-0.22721792197747084,-0.11717774964306998,-0.22243260305658794,-0.006374665827838183,1.0,0.29592882162765527,0.12770142013236838
DO (㎎/L),-0.10862572902188987,0.08123245400755401,-0.23956476606924026,-0.04921568384074552,-0.253756378123611,-0.04575080845448764,-0.09263839088076979,0.29592882162765527,1.0,-0.03759496986187078
TSI(Chl-a),0.012975798827605406,-0.18972724292022755,-0.025384377571747777,-0.09972950677693816,-0.01483608027899269,-0.1065562866242677,-0.06937105594142122,0.12770142013236838,-0.03759496986187078,1.0
